l1 cache size,l2 cache size,aat
4096,32768,0.8017
4096,65536,0.7972
4096,131072,0.7988
4096,262144,0.8021
4096,524288,0.8095
4096,1048576,0.8170
8192,32768,0.8063
8192,65536,0.8012
8192,131072,0.8015
8192,262144,0.8039
8192,524288,0.8091
8192,1048576,0.8144
16384,32768,0.8287
16384,65536,0.8239
16384,131072,0.8226
16384,262144,0.8242
16384,524288,0.8277
16384,1048576,0.8312
32768,65536,0.8619
32768,131072,0.8601
32768,262144,0.8616
32768,524288,0.8648
32768,1048576,0.8681
65536,131072,0.8996
65536,262144,0.9010
65536,524288,0.9042
65536,1048576,0.9075 
